"sheet","conditions","val","date","dpi","plate","note","A","B","norm","irregular"
"Controls","AvrSr35 + EV",75.816566,"03.08.2026","4","10","irregular","AvrSr35","EV",0.430208398502359,TRUE
"Controls","EV + PTO",60.744705,"03.08.2026","4","10","irregular","EV","PTO",0.342892002369452,TRUE
"Controls","EV + PTO",55.874433,"03.08.2026","4","10","irregular","EV","PTO",0.314676866944105,TRUE
"Controls","EV + PTO",32.369894,"03.08.2026","4","10","irregular","EV","PTO",0.178507110717893,TRUE
"Controls","EV + PTO",5.443646,"03.08.2026","4","10","irregular","EV","PTO",0.022514235203655,TRUE
"Controls","EV + PTO",29.238654,"03.08.2026","4","10","irregular","EV","PTO",0.160366776738751,TRUE
"Controls","SRE12 + PTO",9.482224,"03.08.2026","4","10","irregular","SRE12","PTO",0.0459110855635172,TRUE
"Controls","SRE12 + PTO",136.8941,"03.08.2026","4","10","irregular","SRE12","PTO",0.78405124203476,TRUE
"Controls","SRE12 + PTO",93.448185,"03.08.2026","4","10","irregular","SRE12","PTO",0.532354339807716,TRUE
"Controls","SRE12 + PTO",39.351362,"03.08.2026","4","10","irregular","SRE12","PTO",0.218953119706246,TRUE
"Controls","SRE12 + PTO",83.238275,"03.08.2026","4","10","irregular","SRE12","PTO",0.473204872728546,TRUE
"Controls","Sr35WT + PTO",93.928517,"03.08.2026","4","10","irregular","Sr35WT","PTO",0.535137065788755,TRUE
"Controls","Sr35WT + PTO",88.858548,"03.08.2026","4","10","irregular","Sr35WT","PTO",0.505765017998137,TRUE
"Controls","Sr35WT + PTO",9.227307,"03.08.2026","4","10","irregular","Sr35WT","PTO",0.0444342650333244,TRUE
"Controls","Sr35WT + PTO",5.244327,"03.08.2026","4","10","irregular","Sr35WT","PTO",0.0213595127204252,TRUE
"Controls","Sr35WT + PTO",76.349092,"03.08.2026","4","10","irregular","Sr35WT","PTO",0.433293502005309,TRUE
"Controls","RxWT + SRE12",123.829425,"03.08.2026","4","10","irregular","RxWT","SRE12",0.70836315430308,TRUE
"Controls","RxWT + SRE12",11.878593,"03.08.2026","4","10","irregular","RxWT","SRE12",0.0597940629134688,TRUE
"Controls","RxWT + SRE12",72.799168,"03.08.2026","4","10","irregular","RxWT","SRE12",0.412727589791435,TRUE
"Controls","RxWT + SRE12",6.134266,"03.08.2026","4","10","irregular","RxWT","SRE12",0.0265152308005032,TRUE
"Controls","RxWT + SRE12",51.039334,"03.08.2026","4","10","irregular","RxWT","SRE12",0.286665500622068,TRUE
"Controls","AvrSr35 + PTO",110.720121,"03.08.2026","4","10","irregular","AvrSr35","PTO",0.632416515657017,TRUE
"Controls","AvrSr35 + PTO",114.878215,"03.08.2026","4","10","irregular","AvrSr35","PTO",0.656505762689076,TRUE
"Controls","AvrSr35 + PTO",13.547277,"03.08.2026","4","10","irregular","AvrSr35","PTO",0.0694613145663764,TRUE
"Controls","AvrSr35 + PTO",78.47239,"03.08.2026","4","10","irregular","AvrSr35","PTO",0.445594486553681,TRUE
"Controls","AvrSr35 + PTO",13.428896,"03.08.2026","4","10","irregular","AvrSr35","PTO",0.0687754933336428,TRUE
"Controls","Sr35WT + SRE12",128.937973,"03.08.2026","4","10","irregular","Sr35WT","SRE12",0.737958703308739,TRUE
"Controls","Sr35WT + SRE12",37.95764,"03.08.2026","4","10","irregular","Sr35WT","SRE12",0.210878816058465,TRUE
"Controls","Sr35WT + SRE12",86.668306,"03.08.2026","4","10","irregular","Sr35WT","SRE12",0.49307620418152,TRUE
"Controls","Sr35WT + SRE12",5.519289,"03.08.2026","4","10","irregular","Sr35WT","SRE12",0.0229524607255518,TRUE
"Controls","Sr35WT + SRE12",94.268154,"03.08.2026","4","10","irregular","Sr35WT","SRE12",0.537104697976538,TRUE
"Controls","PTO alone",5.098336,"03.08.2026","4","10","irregular","PTO alone","",0.0205137374052309,TRUE
"Controls","PTO alone",21.309758,"03.08.2026","4","10","irregular","PTO alone","",0.114431996419809,TRUE
"Controls","PTO alone",43.184191,"03.08.2026","4","10","irregular","PTO alone","",0.241157996414816,TRUE
"Controls","PTO alone",74.61649,"03.08.2026","4","10","irregular","PTO alone","",0.423255951727167,TRUE
"Controls","PTO alone",104.555598,"03.08.2026","4","10","irregular","PTO alone","",0.596703345781152,TRUE
